_id,_submission_time,lat,lon,altitude,precision,objeto,estado,tipo_de_contenedor,otro_tipo,tipos_de_basura,observaciones,photo_url
45601374,2020-01-28 01:41:27+00,-17.39276085,-66.15887647,2603,3.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/7f34cqRT"" target=""_blank""><img src=""https://i.postimg.cc/7f34cqRT/1580156445962.jpg"" alt=""1580156445962""/></a><br/><br/>"
45601381,2020-01-28 01:41:35+00,-17.39369459,-66.15867295,2612,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/3k9T8nY8"" target=""_blank""><img src=""https://i.postimg.cc/3k9T8nY8/1580156593033.jpg"" alt=""1580156593033""/></a><br/><br/>"
45601382,2020-01-28 01:41:42+00,-17.39575302,-66.15831035,2604,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/BLRsWbs2"" target=""_blank""><img src=""https://i.postimg.cc/BLRsWbs2/1580156826418.jpg"" alt=""1580156826418""/></a><br/><br/>"
45603344,2020-01-28 03:20:05+00,-17.39578504,-66.15828856,2614,3,Contenedor,Regular,Grande (verde),,,"Uno al lado del otro, al lado de una parada, mal olor","<a href=""https://postimg.cc/k27CPkrY"" target=""_blank""><img src=""https://i.postimg.cc/k27CPkrY/1580156937561.jpg"" alt=""1580156937561""/></a><br/><br/>"
45603348,2020-01-28 03:20:18+00,-17.39577607,-66.15825512,2606,2.5,Contenedor,Bueno,Grande (verde),,,"Uno al lado del otro, en una parada","<a href=""https://postimg.cc/Jy2CJ0sS"" target=""_blank""><img src=""https://i.postimg.cc/Jy2CJ0sS/1580157014135.jpg"" alt=""1580157014135""/></a><br/><br/>"
45603351,2020-01-28 03:20:29+00,-17.39646439,-66.1581656,2608,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/tnFKLzBH"" target=""_blank""><img src=""https://i.postimg.cc/tnFKLzBH/1580157142052.jpg"" alt=""1580157142052""/></a><br/><br/>"
45601796,2020-01-28 02:11:36+00,-17.39638015,-66.15685978,2604,4,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/vxRRqKLz"" target=""_blank""><img src=""https://i.postimg.cc/vxRRqKLz/1580157372217.jpg"" alt=""1580157372217""/></a><br/><br/>"
45601870,2020-01-28 02:16:21+00,-17.39392526,-66.15416357,2624,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/wyR8kzJM"" target=""_blank""><img src=""https://i.postimg.cc/wyR8kzJM/1580158149607.jpg"" alt=""1580158149607""/></a><br/><br/>"
45601872,2020-01-28 02:16:29+00,-17.39373331,-66.15417304,2604,2,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/8sWgJ1Nn"" target=""_blank""><img src=""https://i.postimg.cc/8sWgJ1Nn/1580158300289.jpg"" alt=""1580158300289""/></a><br/><br/>"
45603369,2020-01-28 03:21:08+00,-17.39196607,-66.15453749,2608,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/svrd5t2f"" target=""_blank""><img src=""https://i.postimg.cc/svrd5t2f/1580158542157.jpg"" alt=""1580158542157""/></a><br/><br/>"
45603372,2020-01-28 03:21:17+00,-17.39173134,-66.15455132,2606,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/jDxpFPNG"" target=""_blank""><img src=""https://i.postimg.cc/jDxpFPNG/1580158653239.jpg"" alt=""1580158653239""/></a><br/><br/>"
45603375,2020-01-28 03:21:26+00,-17.39070078,-66.15459155,2599,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/bs9Xg3Gx"" target=""_blank""><img src=""https://i.postimg.cc/bs9Xg3Gx/1580158826146.jpg"" alt=""1580158826146""/></a><br/><br/>"
45603378,2020-01-28 03:21:50+00,-17.39054316,-66.15396182,2604,3.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/VJKxQvW5"" target=""_blank""><img src=""https://i.postimg.cc/VJKxQvW5/1580158937708.jpg"" alt=""1580158937708""/></a><br/><br/>"
45603382,2020-01-28 03:22:00+00,-17.39025185,-66.15262776,2611,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/7CcjhRck"" target=""_blank""><img src=""https://i.postimg.cc/7CcjhRck/1580159113195.jpg"" alt=""1580159113195""/></a><br/><br/>"
45603386,2020-01-28 03:22:09+00,-17.39081243,-66.15477537,2603,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/TyhZRxt0"" target=""_blank""><img src=""https://i.postimg.cc/TyhZRxt0/1580159745373.jpg"" alt=""1580159745373""/></a><br/><br/>"
45603399,2020-01-28 03:22:21+00,-17.39082739,-66.15553636,2605,4,Contenedor,Regular,Trilliza,,,,"<a href=""https://postimg.cc/2qPXrZbj"" target=""_blank""><img src=""https://i.postimg.cc/2qPXrZbj/1580159865676.jpg"" alt=""1580159865676""/></a><br/><br/>"
45603401,2020-01-28 03:22:30+00,-17.39082098,-66.15576569,2596,2.5,Contenedor,Malo,Trilliza,,,Le falta un basurero,"<a href=""https://postimg.cc/5HHkh3tk"" target=""_blank""><img src=""https://i.postimg.cc/5HHkh3tk/1580159938497.jpg"" alt=""1580159938497""/></a><br/><br/>"
45603405,2020-01-28 03:22:38+00,-17.39095241,-66.15588698,2601,2.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/w14G4P9m"" target=""_blank""><img src=""https://i.postimg.cc/w14G4P9m/1580160016248.jpg"" alt=""1580160016248""/></a><br/><br/>"
45603318,2020-01-28 03:19:16+00,-17.39101435,-66.15638469,2600,4,Contenedor,Bueno,Trilliza,,,Votaron un foco fluorescente en él,"<a href=""https://postimg.cc/jDS1XKYT"" target=""_blank""><img src=""https://i.postimg.cc/jDS1XKYT/1580160092057.jpg"" alt=""1580160092057""/></a><br/><br/>"
45603314,2020-01-28 03:19:05+00,-17.3912757,-66.15794574,2600,3,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/9RZgMQZd"" target=""_blank""><img src=""https://i.postimg.cc/9RZgMQZd/1580160312002.jpg"" alt=""1580160312002""/></a><br/><br/>"
45603307,2020-01-28 03:18:52+00,-17.39127599,-66.1581029,2592,3.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/w7qzSCYf"" target=""_blank""><img src=""https://i.postimg.cc/w7qzSCYf/1580160373105.jpg"" alt=""1580160373105""/></a><br/><br/>"
45634381,2020-01-28 14:03:13+00,-17.39153793,-66.15353853,2612,4,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/XpsW3sVV"" target=""_blank""><img src=""https://i.postimg.cc/XpsW3sVV/1580219971075.jpg"" alt=""1580219971075""/></a><br/><br/>"
45634405,2020-01-28 14:03:27+00,-17.39155234,-66.15353007,2599,3.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/yDWHN0d0"" target=""_blank""><img src=""https://i.postimg.cc/yDWHN0d0/1580220034388.jpg"" alt=""1580220034388""/></a><br/><br/>"
45634395,2020-01-28 14:03:21+00,-17.39178129,-66.15341046,2622,5,Contenedor,Malo,Trilliza,,,Le falta un basurero,"<a href=""https://postimg.cc/bGtfx81J"" target=""_blank""><img src=""https://i.postimg.cc/bGtfx81J/1580220104041.jpg"" alt=""1580220104041""/></a><br/><br/>"
45641816,2020-01-28 15:33:20+00,-17.39258395,-66.15298139,2601,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/BjyGPtLk"" target=""_blank""><img src=""https://i.postimg.cc/BjyGPtLk/1580221957078.jpg"" alt=""1580221957078""/></a><br/><br/>"
47113452,2020-02-19 16:38:37+00,-17.39234041,-66.15184799,2608,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/cgGyTjcc"" target=""_blank""><img src=""https://i.postimg.cc/cgGyTjcc/1580222117543.jpg"" alt=""1580222117543""/></a><br/><br/>"
47113455,2020-02-19 16:38:38+00,-17.39218702,-66.15090804,2621,6,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/tZd0c5SG"" target=""_blank""><img src=""https://i.postimg.cc/tZd0c5SG/1580222254739.jpg"" alt=""1580222254739""/></a><br/><br/>"
47113467,2020-02-19 16:38:45+00,-17.39219406,-66.15089321,2616,3,Contenedor,Bueno,Grande (verde),,,Está al lado de otros dos,"<a href=""https://postimg.cc/sGVFChqQ"" target=""_blank""><img src=""https://i.postimg.cc/sGVFChqQ/1580222324920.jpg"" alt=""1580222324920""/></a><br/><br/>"
47113468,2020-02-19 16:38:46+00,-17.39217994,-66.15097552,2613,3,Contenedor,Regular,Grande (verde),,,Está al lado de otros dos,"<a href=""https://postimg.cc/xqRDy6NK"" target=""_blank""><img src=""https://i.postimg.cc/xqRDy6NK/1580222393329.jpg"" alt=""1580222393329""/></a><br/><br/>"
47113491,2020-02-19 16:39:00+00,-17.39214499,-66.15100284,2618,4.5,Contenedor,Malo,Grande (verde),,,Está al lado de otros dos,"<a href=""https://postimg.cc/mtgxd77K"" target=""_blank""><img src=""https://i.postimg.cc/mtgxd77K/1580222438592.jpg"" alt=""1580222438592""/></a><br/><br/>"
47113492,2020-02-19 16:39:01+00,-17.39203552,-66.15051049,2601,4,Botadero,,,,Orgánica (hojas de árboles) y plásticos (vasos y platos desechables),Está a unos pocos metros de los 3 basureros juntos,"<a href=""https://postimg.cc/21gP8Jgf"" target=""_blank""><img src=""https://i.postimg.cc/21gP8Jgf/1580222537429.jpg"" alt=""1580222537429""/></a><br/><br/>"
47113478,2020-02-19 16:38:52+00,-17.40738161,-66.15657907,2619,10.5,Botadero,,,,"Organica, cartones, plásticos",Es enorme en día sabado,"<a href=""https://postimg.cc/5HvDHgMQ"" target=""_blank""><img src=""https://i.postimg.cc/5HvDHgMQ/1580605468015.jpg"" alt=""1580605468015""/></a><br/><br/>"
